,carYear,modelName,trimName,mileage,wheelSystem,exteriorColorName,fleet,hasAccidents,Date,daysOnMarket,ownerCount,price,msrpString,savingsRecommendation,serviceProviderName,sellerRating,dealScore,sellerCity,priceDifferential,expectedPrice,vehicleIdentifier
28,2015,Model S,70D AWD,49500.0,AWD,Black,False,False,4/17/2019,18,2.0,36999.0,75000.0,Great Deal,,,1.6217500669999998,"Brooklyn, NY",4264.0,41263,5YJSA1S21FF095060
29,2017,Model S,75 RWD,15751.0,RWD,Black,True,False,4/26/2019,9,1.0,51981.0,,Great Deal,Mercedes-Benz of Walnut Creek,4.52,1.6193142269999998,"Walnut Creek, CA",3990.0,55971,5YJSA1E18HF202661
30,2013,Model S,60 RWD,46466.0,RWD,Brown,False,False,1/9/2019,116,2.0,31990.0,69900.0,Great Deal,NextGear Motors,4.53,1.605770944,"Raleigh, NC",3451.0,35441,5YJSA1AG5DFP11790
31,2016,Model S,P90D AWD,14347.0,AWD,Silver,False,False,5/2/2019,3,2.0,69989.0,74995.0,Great Deal,Auto Centrix,4.62,1.605322752,"Carrollton, TX",7618.0,77607,5YJSA1E42GF127707
32,2013,Model S,60 RWD,99779.0,RWD,Brown,False,False,4/23/2019,12,3.0,24500.0,69900.0,Great Deal,,,1.59414054,"Axton, VA",3426.0,27926,5YJSA1DG7DFP08952
33,2016,Model S,90D AWD,60050.0,AWD,Unknown,False,False,4/4/2019,31,1.0,45995.0,,Great Deal,San Diego Auto Finder,4.12,1.5873569459999999,"San Diego, CA",8172.0,54167,5YJSA1E2XGF129753
34,2017,Model S,,19486.0,,Blue,False,False,2/11/2019,82,1.0,60900.0,,Great Deal,Paul Miller Land Rover Parsippany,4.42,1.565912999,"Parsippany, NJ",8315.0,69215,5YJSA1E2XHF191641
35,2018,Model S,P100D AWD,4200.0,AWD,White,False,False,4/3/2019,31,1.0,104900.0,,Great Deal,Priced Rite Auto,4.82,1.558204114,"Lincoln, NE",13719.0,118619,5YJSA1E42JF272169
36,2016,Model S,90D AWD,25404.0,AWD,Blue,False,True,4/27/2019,8,2.0,45995.0,,Great Deal,BM Motorcars,3.56,1.5549188980000002,"Rahway, NJ",8005.0,54000,5YJSA1E20GF123752
37,2015,Model S,P90D AWD,21776.0,AWD,Unknown,False,True,4/2/2019,33,3.0,54633.0,68995.0,Great Deal,Conicelli Toyota of Conshohocken,4.45,1.546476173,"Conshohocken, PA",8964.0,63597,5YJSA1E49FF106755
38,2013,Model S,60 RWD,31948.0,RWD,Black,False,False,11/8/2018,177,1.0,33777.0,,Great Deal,Autos Direct of Fredericksburg,3.06,1.5322667859999999,"Fredericksburg, VA",3293.0,37070,5YJSA1CG4DFP18789
39,2015,Model S,85 RWD,41025.0,RWD,Red,False,False,4/18/2019,17,1.0,39888.0,,Great Deal,Mak Motors,5.0,1.525000156,"Brisbane, CA",4238.0,44126,5YJSA1H14FF084472
40,2015,Model S,70 RWD,35528.0,RWD,Black,False,False,3/28/2019,37,1.0,37990.0,,Great Deal,Jumbo Luxury Cars - Hollywood,4.63,1.511391231,"Hollywood, FL",3292.0,41282,5YJSA1E15FF120013
41,2012,Model S,,61112.0,,Gray,False,False,3/28/2019,38,1.0,29995.0,,Great Deal,ZAG Motors - Everett,3.2,1.495264504,"Everett, WA",4416.0,34411,5YJSA1CNXCFP02383
42,2017,Model S,75 RWD,22217.0,RWD,Black,True,False,4/17/2019,17,1.0,50499.0,,Great Deal,Daly City Mitsubishi,4.44,1.480534328,"Daly City, CA",3648.0,54147,5YJSA1E1XHF202810
43,2014,Model S,P85 RWD,27705.0,RWD,Unknown,False,False,9/5/2018,241,1.0,39988.0,,Great Deal,"Auto Mall, Inc.",3.73,1.4781555659999999,"Brattleboro, VT",4087.0,44075,5YJSA1H18EFP38369
44,2017,Model S,75 RWD,25870.0,RWD,Black,True,False,12/4/2018,152,1.0,49482.0,,Great Deal,Concord Honda,3.85,1.47485328,"Concord, CA",3634.0,53116,5YJSA1E11HF202582
45,2016,Model S,75D AWD,23877.0,,Gray,False,True,10/5/2018,211,1.0,49995.0,,Great Deal,Auto Expo,3.98,1.4618579930000002,"Great Neck, NY",6942.0,56937,5YJSA1E24GF130073
46,2015,Model S,85D AWD,43113.0,AWD,Gray,True,False,4/7/2019,28,1.0,39990.0,,Great Deal,Bay Motors,4.82,1.445552991,"Concord, CA",6995.0,46985,5YJSA1H23FF085847
47,2016,Model S,,39625.0,,Brown,False,False,1/11/2019,114,1.0,45700.0,,Great Deal,Carvana,4.16,1.42730669,"Santa Fe Springs, CA",10459.0,56159,5YJSA1E26GF122217
48,2013,Model S,60 RWD,67789.0,RWD,Red,False,False,3/8/2019,58,2.0,29987.0,,Great Deal,Mccarthy Chevrolet Lee's Summit,4.17,1.424801847,"Lees Summit, MO",3062.0,33049,5YJSA1CG3DFP11025
49,2015,Model S,,20140.0,,Silver,False,False,3/15/2019,51,1.0,41555.0,,Great Deal,Sam Jidd Luxury,4.12,1.399011468,"Des Plaines, IL",6704.0,48259,5YJSA1S13FFP77025
50,2012,Model S,Performance RWD,42191.0,RWD,White,False,False,3/23/2019,43,1.0,34995.0,,Great Deal,Zoom Auto Group,4.41,1.397728436,"Parsippany, NJ",4057.0,39052,5YJSA1DP1CFS00605
51,2016,Model S,70 RWD,29800.0,,Unknown,False,False,3/21/2019,45,1.0,39900.0,,Great Deal,Luxury Motors of Bay Area,4.5,1.3892438319999998,"Pleasanton, CA",6097.0,45997,5YJSA1E19GF129153
