,year,model,config,mileage,drivetrain,transmission,ext_color,int_color,price,owners,ori_price,good_deal_margin,deal,hotornot,sellin,carfax,dealer,dealer_rating,dealer_review_number,dealer_zipcode,consumer_rating,consumer_review_number,vin
0,2016,Model X,90D,29211,AWD,Automatic,Red,Black,70888,1,,77836.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Marin Acura,4.9,878.0,94925.0,5.0,12,5YJXCBE28GF010833
1,2015,Model S,85D,28000,AWD,Automatic,Silver,Beige,48000,more than 1,,,not_rating,NOT HOT,,CARFAX Report,private_seller,,,,4.8,41,
2,2018,Model 3,Mid Range,2500,RWD,Automatic,White,Other,47004,more than 1,,,not_rating,HOT CAR,11.0,CARFAX Report,private_seller,,,94612.0,4.5,69,5YJ3E1EA4JF162481
3,2018,Model 3,,6548,RWD,Automatic,Silver,Black,47600,1,,52975.0,Good,HOT CAR,11.0,Free CARFAX 1-Owner Report,Carvana,4.4,319.0,76112.0,4.5,69,5YJ3E1EA4JF017635
4,2016,Model S,P90D,18968,AWD,Automatic,Black,Black,66200,more than 1,,70734.0,Good,HOT CAR,11.0,Free CARFAX Report,Carvana,4.4,319.0,8625.0,4.8,27,5YJSA1E40GF120206
5,2017,Model S,P100D,9800,AWD,Automatic,Red,Black,99432,more than 1,,,not_rating,NOT HOT,,CARFAX Report,private_seller,,,,4.7,25,
6,2018,Model X,100D,2400,Unknown,Automatic,White,White,99995,more than 1,,,not_rating,NOT HOT,,CARFAX Report,private_seller,,,,5.0,5,
7,2013,Model S,Performance,57311,RWD,Automatic,Black,Black,37495,1,,,not_rating,NOT HOT,,Free CARFAX 1-Owner Report,Superior Auto Exchange,2.8,4.0,45242.0,4.9,47,5YJSA1DP9DFP04143
8,2018,Model 3,Long Range,8137,RWD,Automatic,White,Black,51000,1,,54870.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Santa Maria BMW Volkswagen,2.2,15.0,93455.0,4.5,69,5YJ3E1EA8JF011269
9,2017,Model S,100D,19700,AWD,Automatic,Silver,Black,74993,1,76992.0,69638.0,Fair,NOT HOT,,Free CARFAX 1-Owner Report,Bozard Ford,4.8,6984.0,32084.0,4.7,25,5YJSA1E24HF216260
10,2016,Model S,,42227,AWD,Automatic,Silver,Black,41995,1,,46371.0,Good,HOT CAR,8.0,Free CARFAX 1-Owner Report,Auto Boutique,4.4,47.0,43204.0,4.8,27,5YJSA1E27GF129032
11,2018,Model 3,Mid Range Battery RWD,475,RWD,Automatic,Black,Black,49500,more than 1,,55446.0,Good,NOT HOT,,Free AutoCheck Report,Arizona Car Sales,4.9,124.0,85203.0,4.5,69,5YJ3E1EAXJF165952
12,2016,Model S,75,45799,RWD,Automatic,Silver,Gray,52888,1,,54485.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,iDeal Motors,5.0,28.0,92627.0,4.8,27,5YJSA1E15GF141896
13,2014,Model S,Base,48334,RWD,Automatic,Gray,Black,47995,more than 1,,42441.0,Fair,NOT HOT,,CARFAX Report,South Bay Pre-Owned,3.8,24.0,90717.0,4.9,33,5YJSA1H10EFP33490
14,2016,Model X,P90D/75D/P100D,20010,AWD,Automatic,Black,White,89995,more than 1,,85518.0,Fair,NOT HOT,,Free CARFAX Report,AUTOSOURCE,2.0,11.0,96814.0,5.0,12,5YJXCBE46GF012274
15,2016,Model S,75 4dr Liftback (midyear release),25505,RWD,Automatic,Silver,Black,53890,1,54990.0,68904.0,Great,NOT HOT,,Free CARFAX 1-Owner Report,Vroom (Online Dealer - Nationwide Delivery),3.8,788.0,31216.0,4.8,27,5YJSA1E13GF142268
16,2013,Model S,Performance,14329,RWD,Automatic,White,Black,49996,1,,54743.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Expo Motorcars,3.3,39.0,77036.0,4.9,47,5YJSA1DP6DFP19618
17,2012,Model S,Signature,40546,RWD,Automatic,Blue,Other,39592,1,,42584.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Hyundai Nissan of Serramonte,1.0,105.0,94014.0,4.6,11,5YJSA1CN0CFP02733
18,2018,Model 3,Long Range 4dr Fastback,9256,RWD,Automatic,Black,Black,48910,1,,53939.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Vroom (Online Dealer - Nationwide Delivery),3.8,788.0,6074.0,4.5,69,5YJ3E1EA1JF003868
19,2016,Model X,AWD 75D 4dr SUV,20904,AWD,Automatic,Brown,Beige,70050,1,70760.0,88995.0,Great,NOT HOT,,Free CARFAX 1-Owner Report,Vroom (Online Dealer - Nationwide Delivery),3.8,796.0,94107.0,5.0,12,5YJXCBE21GF009183
20,2018,Model 3,Long Range,6169,RWD,Automatic,Black,Black,46750,1,,52720.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Shift San Francisco,3.4,38.0,94114.0,4.5,69,5YJ3E1EA0JF101368
22,2016,Model S,85D,39625,AWD,Automatic,Beige,Beige,45700,1,46600.0,52285.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Carvana,4.4,320.0,28269.0,4.8,27,5YJSA1E26GF122217
24,2014,Model S,Performance,31105,RWD,Automatic,Silver,Gray,41000,1,,46828.0,Good,HOT CAR,11.0,Free CARFAX 1-Owner Report,Carvana,4.4,321.0,48336.0,4.9,33,5YJSA1H18EFP47914
28,2015,Model S,85,40756,RWD,Automatic,Black,Other,41800,1,,44825.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,United Imports,4.7,93.0,95129.0,4.8,41,5YJSA1H16FF092010
29,2017,Model X,90D,16096,AWD,Automatic,Blue,White,83800,1,,85885.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Autolinx,4.5,9.0,94590.0,4.9,17,5YJXCDE29HF051310
30,2018,Model S,75D,17407,AWD,Automatic,Black,Black,61395,1,61895.0,68213.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Avondale Mitsubishi,4.0,71.0,85323.0,4.8,5,5YJSA1E29JF248725
31,2017,Model S,75,20193,RWD,Automatic,Other,Black,52573,1,,56858.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Bill Luke Tempe,4.6,453.0,85284.0,4.7,25,5YJSA1E14HF218940
33,2018,Model 3,,7994,AWD,Automatic,Blue,Black,48900,1,,52975.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Carvana,4.4,319.0,17011.0,4.5,69,5YJ3E1EB1JF114896
34,2018,Model 3,,601,RWD,Automatic,Black,Black,47900,1,,50783.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Carvana,4.4,319.0,17602.0,4.5,69,5YJ3E1EA9JF173413
46,2011,Roadste,,17880,RWD,Automatic,Red,Brown,79989,1,,71612.0,Fair,NOT HOT,,Free CARFAX 1-Owner Report,Auto Centrix,5.0,6.0,75006.0,4.0,5,5YJRE1A32B1001367
48,2018,Model 3,,5880,RWD,Automatic,White,Black,46400,1,,52975.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Carvana,4.4,319.0,85711.0,4.5,69,5YJ3E1EA7JF062407
52,2018,Model 3,Long Range,9690,RWD,Automatic,Black,Black,46125,1,,46634.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,DallasLeaseReturns.com,4.9,1923.0,75244.0,4.5,69,5YJ3E1EA5JF004988
54,2016,Model S,P90D,44374,AWD,Automatic,Blue,Gray,60900,1,,65995.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Carvana,4.4,322.0,75081.0,4.8,27,5YJSA1E49GF128739
61,2014,Model S,P85D,52811,RWD,Automatic,Blue,Beige,40799,1,,43144.0,Good,HOT CAR,11.0,Free CARFAX 1-Owner Report,Motor Cars of Nashville,4.3,40.0,37122.0,4.9,33,5YJSA1H18EFP45032
62,2016,Model S,75D,19156,AWD,Automatic,Gray,Beige,57800,1,,60338.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Ultimo Motors West,4.7,393.0,60555.0,4.8,27,5YJSA1E2XGF154877
63,2017,Model X,AWD 100D 4dr SUV,29113,AWD,Automatic,Black,Beige,86420,1,88180.0,90145.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Vroom (Online Dealer - Nationwide Delivery),3.8,787.0,31415.0,4.9,17,5YJXCAE24HF074881
64,2017,Model X,100D,17249,AWD,Automatic,White,Black,83500,more than 1,,85219.0,Good,NOT HOT,,Free CARFAX Report,Carvana,4.4,319.0,29925.0,4.9,17,5YJXCBE28HF076686
69,2014,Model S,Performance,39270,RWD,Automatic,Gray,Beige,41995,1,,38588.0,Fair,NOT HOT,,Free CARFAX 1-Owner Report,Elite Motors,5.0,27.0,23454.0,4.9,33,5YJSA1H18EFP33835
70,2016,Model S,70D,29874,AWD,Automatic,White,Black,46495,more than 1,,50318.0,Good,NOT HOT,,CARFAX Report,Imperial Highline,4.6,29.0,20111.0,4.8,27,5YJSA1E26GF129975
76,2018,Model 3,,15142,RWD,Automatic,Gray,Black,45100,1,,48847.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Carvana,4.4,319.0,17602.0,4.5,69,5YJ3E1EA5JF002867
80,2015,Model S,P85D,52064,AWD,Automatic,Red,Beige,52995,more than 1,,56962.0,Good,NOT HOT,,CARFAX Report,Imperial Highline,4.6,29.0,20111.0,4.8,41,5YJSA1H44FF080612
81,2015,Model S,85D,51203,AWD,Automatic,Black,Black,44995,more than 1,,48228.0,Good,NOT HOT,,CARFAX Report,Imperial Highline,4.6,29.0,20111.0,4.8,41,5YJSA1H24FFP73551
88,2015,Model S,90D,56851,AWD,Automatic,Gray,Black,44995,more than 1,,47299.0,Good,NOT HOT,,CARFAX Report,Imperial Highline,4.6,29.0,20111.0,4.8,41,5YJSA1E28FF116305
103,2016,Model S,AWD 90D 4dr Liftback,10552,AWD,Automatic,Silver,Beige,63410,1,,61576.0,Fair,HOT CAR,6.0,Free CARFAX 1-Owner Report,Vroom (Online Dealer - Nationwide Delivery),4.0,5.0,60606.0,4.8,27,5YJSA1E25GF170775
118,2015,Model S,70D,32185,RWD,Automatic,Silver,Black,43490,more than 1,,47786.0,Good,NOT HOT,,Free CARFAX Report,Sheehy Hyundai of Waldorf,4.2,112.0,20601.0,4.8,41,5YJSA1E18FF115582
119,2015,Model S,85D,48915,AWD,Automatic,Black,Black,45000,1,,47807.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Carbiz Greater Washington DC,4.7,74.0,20723.0,4.8,41,5YJSA1H29FFP69687
120,2015,Model S,85D,36375,AWD,Automatic,Black,Black,44995,more than 1,,48464.0,Good,NOT HOT,,CARFAX Report,Auto Expo Ent Inc,4.8,1014.0,11021.0,4.8,41,5YJSA1H25FFP74630
147,2018,Model 3,Mid Range,2983,RWD,Automatic,Blue,White,49200,1,,52339.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Shift San Francisco,3.4,38.0,94114.0,4.5,69,5YJ3E1EA3JF168353
150,2017,Model S,75D,15413,AWD,Automatic,White,Other,68989,1,,70545.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Mercedes-Benz of Salem,5.0,171.0,97302.0,4.7,25,5YJSA1E27HF191645
158,2018,Model S,75D,13132,AWD,Automatic,Black,Black,64500,1,66000.0,68727.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Young Chevrolet,3.5,99.0,84041.0,4.8,5,5YJSA1E21JF248878
216,2013,Model S,Base,68837,RWD,Other / Unknown,Black,Beige,34999,1,,36167.0,Good,HOT CAR,10.0,Free CARFAX 1-Owner Report,Green Eyed Motors,4.0,46.0,80301.0,4.9,47,5YJSA1DN7DFP06164
217,2015,Model S,85D,41940,AWD,Automatic,White,Beige,47000,1,,48035.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Carbiz Greater Washington DC,4.7,74.0,20723.0,4.8,41,5YJSA1H28FF096844
218,2015,Model S,70D,50038,AWD,Automatic,Black,Other,44999,more than 1,,46411.0,Good,NOT HOT,,CARFAX Report,Maguire Ford Lincoln Nissan,4.7,817.0,14850.0,4.8,41,5YJSA1E27FF119163
219,2018,Model 3,Long Range,12817,RWD,Automatic,Blue,Black,47600,1,,52735.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Shift San Francisco,3.4,38.0,94114.0,4.5,69,5YJ3E1EA5JF012038
220,2018,Model 3,Long Range,13202,RWD,Automatic,Blue,Black,46550,1,,52735.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Shift San Francisco,3.4,38.0,94114.0,4.5,69,5YJ3E1EA0JF011105
221,2016,Model S,P90D,20150,AWD,Automatic,Silver,Black,74995,1,,70734.0,Fair,NOT HOT,,Free CARFAX 1-Owner Report,SCOTTSDALE SPORT of CALIFORNIA,5.0,78.0,94010.0,4.8,27,5YJSA1E47GF133633
222,2014,Model S,Performance,37996,RWD,Automatic,Blue,Black,46995,1,,42520.0,Fair,NOT HOT,,Free CARFAX 1-Owner Report,Stevens Creek Showcase,1.0,1.0,95129.0,4.9,33,5YJSA1H19EFP30149
223,2015,Model S,85D,35116,AWD,Automatic,Red,Other,43800,1,,45311.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,United Imports,4.7,93.0,95129.0,4.8,41,5YJSA1H26FF090301
224,2014,Model S,Performance,35394,RWD,Automatic,Gray,Gray,41000,1,,45771.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Santa Maria BMW Volkswagen,2.2,15.0,93455.0,4.9,33,5YJSA1H18EFP36055
225,2018,Model 3,Long Range 4dr Fastback,8490,RWD,Automatic,Black,Black,47530,1,,54098.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Texas Direct Auto,2.9,1654.0,77477.0,4.5,69,5YJ3E1EA4JF056435
227,2013,Model S,Base,38128,RWD,Automatic,Gray,Other,38950,1,,41379.0,Good,HOT CAR,3.0,Free CARFAX 1-Owner Report,Luxury Auto Plex LLC,4.0,11.0,97225.0,4.9,47,5YJSA1CG9DFP07836
228,2015,Model S,70,65952,RWD,Automatic,Gray,Gray,39988,1,,41814.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,iDeal Motors,5.0,28.0,92627.0,4.8,41,5YJSA1E16FF119999
236,2015,Model S,kWh Battery,36378,RWD,Automatic,White,Beige,42000,1,,43312.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,K&S Auto Sales,5.0,39.0,92103.0,4.8,41,5YJSA1S16FFP73146
239,2015,Model S,60,29537,RWD,Automatic,Blue,Beige,39995,1,,44587.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,San Diego Auto Finder,5.0,6.0,92111.0,4.8,41,5YJSA1S1XFFP77006
240,2016,Model S,70,25603,RWD,Automatic,White,Black,48169,1,,53874.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Frontier Ford,3.0,17.0,98221.0,4.8,27,5YJSA1E11GF133293
241,2012,Model S,Signature Performance,33715,RWD,Other / Unknown,Red,Beige,41991,1,,48108.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Excellent Choice Auto Sales,,,98204.0,4.6,11,5YJSA1DP7CFS00723
253,2016,Model S,75D,14657,RWD,Automatic,Black,Other,51991,1,,55321.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Excellent Choice Auto Sales,,,98204.0,4.8,27,5YJSA1E1XGF160055
256,2015,Model S,70D,29560,RWD,Automatic,Gray,Black,42798,1,,45961.0,Good,HOT CAR,4.0,Free CARFAX 1-Owner Report,Green Eyed Motors,4.0,46.0,80301.0,4.8,41,5YJSA1E11FF111700
263,2016,Model X,P90D,28072,AWD,Automatic,Beige,Black,84995,1,,87726.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Green Eyed Motors,4.0,46.0,80301.0,5.0,12,5YJXCAE47GFS00425
270,2014,Model S,Base,32264,RWD,Automatic,Black,Other,42777,more than 1,,42249.0,Fair,NOT HOT,,Free CARFAX Report,Empire Exotic Motors Inc.,4.6,240.0,75001.0,4.9,33,5YJSA1S10EFP44966
272,2016,Model S,75,27538,RWD,Automatic,Black,Black,48900,1,,55036.0,Good,HOT CAR,5.0,Free CARFAX 1-Owner Report,Auto Merchants Inc.,3.7,98.0,75093.0,4.8,27,5YJSA1E13GF160611
273,2015,Model S,90D,27433,AWD,Automatic,Silver,Black,49995,more than 1,,53831.0,Good,NOT HOT,,CARFAX Report,No. 1 Auto Sales,,,33021.0,4.8,41,5YJSA1V2XFF097966
277,2017,Model X,75D,11448,AWD,Automatic,Black,Black,79900,1,,82818.0,Good,HOT CAR,5.0,Free CARFAX 1-Owner Report,Marino Performance Motors,4.0,10.0,33409.0,4.9,17,5YJXCBE20HF044590
278,2015,Model S,60,41351,RWD,Automatic,Black,Black,38799,1,,42552.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Motor Cars of Nashville,4.3,40.0,37122.0,4.8,41,5YJSA1S1XFFP70458
283,2015,Model S,85D,23305,AWD,Automatic,Black,Gray,43699,more than 1,,46657.0,Good,NOT HOT,,Free CARFAX Report,Motor Cars of Nashville,4.3,40.0,37122.0,4.8,41,5YJSA1H20FF086731
285,2015,Model S,P85D,55903,AWD,Automatic,Red,Beige,47999,1,,48892.0,Good,HOT CAR,11.0,Free CARFAX 1-Owner Report,Atlanta Autos,4.3,913.0,30062.0,4.8,41,5YJSA1H29FF088218
286,2015,Model S,85D,17016,AWD,Automatic,White,Gray,59995,1,,64722.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Carmel Motors,4.1,53.0,46032.0,4.8,41,5YJSA1H23FF088814
287,2016,Model S,P90D,39150,AWD,Automatic,Silver,Gray,74996,more than 1,,74989.0,Good,NOT HOT,,Free CARFAX Report,Metrolina Auto Group,4.5,93.0,28217.0,4.8,27,5YJSA1E43GF143012
290,2013,Model S,Performance,67674,RWD,Automatic,Black,Beige,34995,more than 1,,42535.0,Great,HOT CAR,11.0,Free CARFAX Report,RDU Auto Sales,5.0,107.0,27610.0,4.9,47,5YJSA1CP5DFP12743
291,2013,Model S,Performance,65980,RWD,Automatic,Gray,Beige,35995,more than 1,,35125.0,Fair,NOT HOT,,Free CARFAX Report,Auto Haus-German Automotive Specialist,4.9,90.0,23692.0,4.9,47,5YJSA1CP9DFP05648
292,2016,Model S,70D,35597,AWD,Automatic,Brown,Black,47995,more than 1,,49927.0,Good,NOT HOT,,CARFAX Report,Imperial Highline,4.6,29.0,20111.0,4.8,27,5YJSA1E28GF123885
299,2015,Model S,85D,32913,RWD,Automatic,White,Black,46995,more than 1,,49897.0,Good,NOT HOT,,CARFAX Report,Imperial Highline,4.6,29.0,20111.0,4.8,41,5YJSA1H19FFP69065
303,2015,Model S,85D,56819,AWD,Automatic,Blue,Black,45995,more than 1,,46370.0,Good,NOT HOT,,CARFAX Report,Imperial Highline,4.6,29.0,20111.0,4.8,41,5YJSA1H27FFP74659
312,2015,Model S,85D,32489,RWD,Automatic,Red,Beige,45995,more than 1,,49897.0,Good,NOT HOT,,CARFAX Report,Imperial Highline,4.6,29.0,20111.0,4.8,41,5YJSA1H15FFP75557
313,2015,Model S,85D,32450,RWD,Automatic,White,Black,47995,more than 1,,49897.0,Good,NOT HOT,,CARFAX Report,Imperial Highline,4.6,29.0,20111.0,4.8,41,5YJSA1H1XFF080524
314,2014,Model S,,34515,RWD,Automatic,Gray,Black,42995,more than 1,,43597.0,Good,NOT HOT,,CARFAX Report,Auto Expo Ent Inc,4.8,1014.0,11021.0,4.9,33,5YJSA1H16EFP51203
316,2012,Model S,Performance 4dr Liftback,44035,RWD,Other / Unknown,Black,Gray,37790,more than 1,,35283.0,Fair,NOT HOT,,Free CARFAX Report,Vroom (Online Dealer - Nationwide Delivery),3.8,788.0,37207.0,4.6,11,5YJSA1DPXCFP01752
317,2018,Model 3,Mid Range,2575,RWD,Automatic,White,Black,48200,1,,52355.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Shift San Francisco,3.4,38.0,94114.0,4.5,69,5YJ3E1EA5JF165079
318,2017,Model S,,31468,RWD,Automatic,Black,Other,51995,1,,52859.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Salinas Valley Ford Lincoln,4.0,438.0,93907.0,4.7,25,5YJSA1E15HF202780
320,2014,Model S,Performance,18150,RWD,Automatic,Black,Other,45800,1,,48690.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,private_seller,,,90401.0,4.9,33,5YJSA1H11EFP40206
322,2014,Model S,Base,49650,RWD,Other / Unknown,Silver,Other,39995,more than 1,,42069.0,Good,NOT HOT,,CARFAX Report,South Bay Pre-Owned,3.8,24.0,90717.0,4.9,33,5YJSA1S10EFP48029
323,2015,Model S,70D,41740,RWD,Automatic,Brown,Black,43999,1,,42667.0,Fair,HOT CAR,10.0,Free CARFAX 1-Owner Report,European Auto House,4.3,31.0,90034.0,4.8,41,5YJSA1E13FF119832
324,2018,Model 3,Long Range,7775,RWD,Automatic,Silver,Other,55000,1,,58042.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,private_seller,,,90017.0,4.5,69,5YJ3E1EA4JF014251
327,2015,Model S,P85D,30905,AWD,Automatic,Silver,Black,56885,1,,67637.0,Great,NOT HOT,,Free CARFAX 1-Owner Report,Private Collection Motors,4.0,52.0,92627.0,4.8,41,5YJSA1H45FF084569
328,2016,Model S,P90D,58954,AWD,Automatic,Silver,Black,62995,more than 1,,61759.0,Fair,NOT HOT,,Free CARFAX Report,O.C. AUTOHAUS,4.3,67.0,92683.0,4.8,27,5YJSA1E44GF122007
330,2017,Model X,100D,6112,AWD,Automatic,Black,Black,96995,1,,96845.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,O.C. AUTOHAUS,4.3,67.0,92683.0,4.9,17,5YJXCBE23HF065529
331,2017,Model S,90D,18321,AWD,Automatic,Black,Black,71995,more than 1,,75838.0,Good,NOT HOT,,Free CARFAX Report,O.C. AUTOHAUS,4.3,67.0,92683.0,4.7,25,5YJSA1E20HF178364
332,2016,Model X,90D,45676,AWD,Automatic,Gray,Black,69800,more than 1,,71842.0,Good,NOT HOT,,Free CARFAX Report,CJ Auto Group,3.7,7.0,91803.0,5.0,12,5YJXCBE21GF002685
335,2013,Model S,Base,55972,RWD,Automatic,Silver,Gray,35995,1,,39113.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Freeman Motor Company of Portland,3.8,18.0,97219.0,4.9,47,5YJSA1DG0DFP08422
336,2018,Model X,100D,4665,AWD,Automatic,Silver,Black,99880,1,,104471.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Anaheim Mitsubishi,4.0,188.0,92806.0,5.0,5,5YJXCAE21JF091966
337,2015,Model S,SDAUTOFINDERS.COM CLEAN CARFAX MUST SEE,12400,AWD,Automatic,Silver,Black,51995,1,,43662.0,Fair,NOT HOT,,Free CARFAX 1-Owner Report,San Diego Auto Finder,5.0,6.0,92111.0,4.8,41,5YJSA1E28FF120127
339,2015,Model S,70,40932,RWD,Automatic,Gray,Other,39999,1,,41795.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Siry Auto Group,4.8,472.0,92111.0,4.8,41,5YJSA1E13FF113271
341,2013,Model S,Base,42677,RWD,Other / Unknown,Red,Black,38991,1,,42548.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Excellent Choice Auto Sales,,,98204.0,4.9,47,5YJSA1DNXDFP14114
343,2016,Model S,75,36222,RWD,Automatic,Blue,Black,49999,1,,53948.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Las Vegas Auto Sport,3.4,10.0,89103.0,4.8,27,5YJSA1E15GF158195
344,2013,Model S,Performance,13806,RWD,Automatic,White,Other,46777,more than 1,,46758.0,Good,NOT HOT,,Free CARFAX Report,Luxury Motorsports,3.9,63.0,85022.0,4.9,47,5YJSA1DP5DFP14734
346,2015,Model S,P85D,15455,AWD,Automatic,Black,Other,62577,more than 1,,66113.0,Good,NOT HOT,,Free CARFAX Report,Luxury Motorsports,3.9,63.0,85022.0,4.8,41,5YJSA1H46FF090512
347,2016,Model S,P90D,26838,AWD,Automatic,Silver,Black,72750,1,,70264.0,Fair,NOT HOT,,Free CARFAX 1-Owner Report,Mark Kia,4.2,895.0,85257.0,4.8,27,5YJSA1E47GF127749
351,2018,Model 3,Range Battery RWD,807,RWD,Automatic,Black,Black,49999,1,,56147.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Galleria Motorcars,,,85257.0,4.5,69,5YJ3E1EA0JF157486
352,2014,Model S,Performance,49790,AWD,Automatic,Gray,Gray,43997,more than 1,,35729.0,Fair,NOT HOT,,Free AutoCheck Report,Investment Automotive Group,5.0,41.0,84302.0,4.9,33,5YJSA1H10EFP51620
353,2015,Model S,85D,30044,AWD,Automatic,Gray,Black,46589,1,,51649.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Auto Centrix,5.0,6.0,75006.0,4.8,41,5YJSA1E22FF117238
354,2013,Model S,Base,44430,RWD,Automatic,Black,Gray,34900,more than 1,,37295.0,Good,HOT CAR,5.0,Free CARFAX Report,Auto Merchants Inc.,3.7,98.0,75093.0,4.9,47,5YJSA1CG1DFP20077
356,2015,Model S,70D,14300,AWD,Automatic,Gray,Black,46851,1,47900.0,53339.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Priced Rite Auto,,,68528.0,4.8,41,5YJSA1E23FF114493
357,2018,Model X,P100D Sport Utility 4D,5065,AWD,Automatic,Black,Other,127900,1,,106751.0,Fair,NOT HOT,,Free CARFAX 1-Owner Report,Bigler Motors,4.7,376.0,68521.0,5.0,5,5YJXCBE43JF111335
358,2018,Model X,100D,2008,AWD,Automatic,Silver,Black,94888,1,,98417.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Tamiami Ford Inc,,,34104.0,5.0,5,5YJXCDE24JF120233
360,2018,Model 3,,2043,AWD,Automatic,Other,Other,54792,1,,56632.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,AutoNation Chrysler Dodge Jeep Ram Pembroke Pines,4.0,429.0,33027.0,4.5,69,5YJ3E1EB3JF104984
361,2015,Model S,70,33850,RWD,Automatic,Black,Other,40299,1,,45184.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,The Taverna Collection,3.7,60.0,33020.0,4.8,41,5YJSA1E1XFF111498
362,2014,Model S,Performance,19987,RWD,Automatic,White,Gray,49900,more than 1,,54588.0,Good,NOT HOT,,Free CARFAX Report,Miami Auto Broker,3.5,53.0,33020.0,4.9,33,5YJSA1H14EFP51264
363,2015,Model S,85D,27435,AWD,Automatic,Blue,Black,47995,1,,52769.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Florida Auto Imports,5.0,18.0,33312.0,4.8,41,5YJSA1H25FF098499
364,2015,Model S,90D,54238,AWD,Automatic,White,Gray,47995,1,49995.0,42414.0,Fair,NOT HOT,,Free CARFAX 1-Owner Report,"City Auto Sales, LLC",4.7,155.0,38128.0,4.8,41,5YJSA1H29FF089188
365,2014,Model S,Base,24252,RWD,Automatic,Gray,Beige,43699,1,,47841.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Motor Cars of Nashville,4.3,40.0,37122.0,4.9,33,5YJSA1H14EFP57095
367,2015,Model S,85D,20718,AWD,Automatic,Black,Black,44699,1,,46820.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Motor Cars of Nashville,4.3,40.0,37122.0,4.8,41,5YJSA1H25FF089821
368,2013,Model S,Base,58416,RWD,Automatic,Black,Black,32990,more than 1,,35176.0,Good,HOT CAR,10.0,Free CARFAX Report,Georgia Auto World,3.2,51.0,30062.0,4.9,47,5YJSA1CN9DFP03445
369,2016,Model S,70D,5084,RWD,Automatic,Red,Black,46490,1,,54539.0,Great,NOT HOT,,Free CARFAX 1-Owner Report,ALM Gwinnett,4.8,1025.0,30096.0,4.8,27,5YJSA1E19GF131839
