,year,model,config,mileage,drivetrain,transmission,ext_color,int_color,price,owners,ori_price,good_deal_margin,deal,hotornot,sellin,carfax,dealer,dealer_rating,dealer_review_number,dealer_zipcode,consumer_rating,consumer_review_number,vin
794,2016,Model X,90D,28256,AWD,Automatic,Blue,Black,74985,more than 1,,76464.0,Good,NOT HOT,,Free AutoCheck Report,Star Motor Sales,4.0,157.0,60515.0,5.0,12,5YJXCBE27GF011276
795,2018,Model S,75D,13636,AWD,Automatic,Black,Black,61998,1,,65206.0,Good,HOT CAR,10.0,Free CARFAX 1-Owner Report,Texas Car One,4.9,62.0,75006.0,4.8,5,5YJSA1E23JF234237
796,2014,Model S,,91196,RWD,Automatic,Blue,Beige,35989,more than 1,,41539.0,Great,HOT CAR,10.0,Free CARFAX Report,Current Automotive,,,60540.0,4.9,33,5YJSA1H14EFP43620
798,2015,Model S,85D,71821,AWD,Automatic,Black,Black,43800,1,,41479.0,Fair,NOT HOT,,Free CARFAX 1-Owner Report,Roadsport,,,95008.0,4.8,41,5YJSA1E21FF106909
799,2016,Model S,90D,40066,AWD,Automatic,Black,Black,59885,1,,62609.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Private Collection Motors,4.0,52.0,92627.0,4.8,27,5YJSA1E24GF145351
800,2017,Model S,75D,21874,AWD,Automatic,Silver,Black,69995,1,,72973.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Rockland Motors,4.7,138.0,10994.0,4.7,25,5YJSA1E21HF204759
801,2018,Model X,100D,9772,AWD,Automatic,White,Black,109999,1,,102477.0,Fair,NOT HOT,,Free CARFAX 1-Owner Report,"CNC Motors, Inc.",5.0,5.0,91784.0,5.0,5,5YJXCAE25JF091520
802,2015,Model S,70D,50023,RWD,Automatic,White,Beige,41995,1,,44149.0,Good,HOT CAR,5.0,Free CARFAX 1-Owner Report,Rev It Motors,5.0,3.0,92040.0,4.8,41,5YJSA1E13FF114064
803,2015,Model S,85D,57714,AWD,Automatic,White,Gray,52488,more than 1,,50012.0,Fair,NOT HOT,,Free AutoCheck Report,Jim Butler Chevrolet,4.6,1426.0,63026.0,4.8,41,5YJSA1H28FF087061
804,2018,Model 3,Long Range Battery RWD,11141,RWD,Automatic,White,Black,50990,1,,55389.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,ALM Roswell,4.4,693.0,30076.0,4.5,69,5YJ3E1EA1JF008195
