"","hotornot","year","config","drivetrain","mileage.x","ext_color","int_color","price.x","good_deal_margin","deal","dealer","dealer_rating","dealer_review_number","consumer_rating","consumer_review_number","fleet","hasAccidents","daysOnMarket","ownerCount"
"615","NOT HOT",2015,"85D","AWD",70969,"Gray","Black",42988,44785,"Good","iDeal Motors",5,28,4.8,41,"True","False",26,3
"616","NOT HOT",2015,"85D","AWD",70745,"Brown","Other",41999,32381,"Fair","Cincinnati Automotive Group Inc",3.8,65,4.8,41,"False","False",193,2
"617","NOT HOT",2015,"85D","AWD",36571,"Red","Beige",53495,49827,"Fair","Imperial Highline",4.6,29,4.8,41,"False","False",400,2
"618","NOT HOT",2015,"85D","AWD",56819,"Blue","Black",45995,46370,"Good","Imperial Highline",4.6,29,4.8,41,"False","False",386,1
"619","NOT HOT",2015,"85D","AWD",19692,"Gray","Beige",44998,48898,"Good","HGreg.com Orlando",4.7,1202,4.8,41,"False","True",158,1
"620","NOT HOT",2014,"Performance","AWD",24215,"Brown","Black",48595,45887,"Fair","RDU Auto Sales",5,107,4.9,33,"False","True",43,2
"621","NOT HOT",2015,"85D","AWD",55090,"Other","Black",43995,45538,"Good","Highline Auto Sales",4.6,272,4.8,41,"False","True",8,1
"622","NOT HOT",2015,"85D","AWD",57714,"White","Gray",52488,50012,"Fair","Jim Butler Chevrolet",4.6,1426,4.8,41,"False","False",166,1
"623","NOT HOT",2015,"85D","AWD",41940,"White","Beige",47000,48035,"Good","Carbiz Greater Washington DC",4.7,74,4.8,41,"False","False",26,4
"624","NOT HOT",2014,"P85D","AWD",23674,"Silver","Black",51995,58302,"Good","Highline Auto Sales",4.6,272,4.9,33,"False","True",28,1
"625","HOT CAR",2015,"P85D","AWD",55903,"Red","Beige",47999,48892,"Good","Atlanta Autos",4.3,913,4.8,41,"False","False",24,1
"626","NOT HOT",2015,"90D","AWD",54238,"White","Gray",47995,42414,"Fair","City Auto Sales, LLC",4.7,155,4.8,41,"False","False",30,3
"627","NOT HOT",2015,"85D","AWD",43059,"Blue","Beige",48888,49426,"Good","Private Collection Motors",4,52,4.8,41,"False","False",36,1
"628","NOT HOT",2015,"85D","AWD",48915,"Black","Black",45000,47807,"Good","Carbiz Greater Washington DC",4.7,74,4.8,41,"False","False",35,1
"629","NOT HOT",2015,"85D","AWD",27972,"Black","Beige",52995,53612,"Good","Universal Mitsubishi",4.9,426,4.8,41,"False","False",337,1
"630","NOT HOT",2015,"85D","AWD",14125,"White","Other",49988,52903,"Good","Rolls-Royce Motor Cars Raleigh",4.8,69,4.8,41,"False","False",60,1
"631","NOT HOT",2015,"90D","AWD",46471,"White","Beige",46495,51271,"Good","Georgia Luxury Cars",4.4,144,4.8,41,"False","False",334,1
"632","NOT HOT",2015,"85D","AWD",53650,"Silver","Gray",48995,48111,"Fair","Imperial Highline",4.6,29,4.8,41,"True","False",373,1
"633","NOT HOT",2015,"P85D","AWD",26966,"Red","Black",55967,60625,"Good","Manheim Imports",4.9,155,4.8,41,"False","False",48,2
"634","NOT HOT",2015,"P85D","AWD",52064,"Red","Beige",52995,56962,"Good","Imperial Highline",4.6,29,4.8,41,"False","False",373,1
"635","NOT HOT",2015,"P85D","AWD",45930,"Black","Black",59989,58536,"Fair","Auto Centrix",5,6,4.8,41,"False","False",10,1
