carfax,config,consumer_rating,consumer_review_number,deal,dealer,dealer_rating,dealer_review_number,dealer_zipcode,drivetrain,ext_color,good_deal_margin,hotornot,int_color,mileage,model,ori_price,owners,price,sellin,transmission,vin,year
Free CARFAX 1-Owner Report,90D,5.0,12,Good,Marin Acura,4.9,878,94925,AWD,Red,"$77,836",NOT HOT,Black,29211,Model X,,1,70888,nan,Automatic,5YJXCBE28GF010833,2016
CARFAX Report,85D,4.8,41,,Richard (Private Seller),nan,nan,nan,AWD,Silver,,NOT HOT,Beige,28000,Model S,,more than 1,48000,nan,Automatic,,2015
CARFAX Report,Mid Range,4.5,69,,TRED Private Seller (East Bay),nan,nan,94612,RWD,White,,HOT CAR,Other,2500,Model 3,,more than 1,47004,11,Automatic,5YJ3E1EA4JF162481,2018
Free CARFAX 1-Owner Report,,4.5,69,Good,Carvana,4.4,319,76112,RWD,Silver,"$52,975",HOT CAR,Black,6548,Model 3,,1,47600,11,Automatic,5YJ3E1EA4JF017635,2018
Free CARFAX Report,P90D,4.8,27,Good,Carvana,4.4,319,08625,AWD,Black,"$70,734",HOT CAR,Black,18968,Model S,,more than 1,66200,11,Automatic,5YJSA1E40GF120206,2016
CARFAX Report,P100D,4.7,25,,Ali (Private Seller),nan,nan,nan,AWD,Red,,NOT HOT,Black,9800,Model S,,more than 1,99432,nan,Automatic,,2017
CARFAX Report,100D,5.0,5,,Ryan (Private Seller),nan,nan,nan,Unknown,White,,NOT HOT,White,2400,Model X,,more than 1,99995,nan,Automatic,,2018
Free CARFAX 1-Owner Report,Performance,4.9,47,,Superior Auto Exchange,2.8,4,45242,RWD,Black,,NOT HOT,Black,57311,Model S,,1,37495,nan,Automatic,5YJSA1DP9DFP04143,2013
Free CARFAX 1-Owner Report,Long Range,4.5,69,Good,Santa Maria BMW Volkswagen,2.2,15,93455,RWD,White,"$54,870",NOT HOT,Black,8137,Model 3,,1,51000,nan,Automatic,5YJ3E1EA8JF011269,2018
Free CARFAX 1-Owner Report,100D,4.7,25,Fair,Bozard Ford,4.8,6984,32084,AWD,Silver,"$69,638",NOT HOT,Black,19700,Model S,76992,1,74993,nan,Automatic,5YJSA1E24HF216260,2017
Free CARFAX 1-Owner Report,,4.8,27,Good,Auto Boutique,4.4,47,43204,AWD,Silver,"$46,371",HOT CAR,Black,42227,Model S,,1,41995,8,Automatic,5YJSA1E27GF129032,2016
Free AutoCheck Report,Mid Range Battery RWD,4.5,69,Good,Arizona Car Sales,4.9,124,85203,RWD,Black,"$55,446",NOT HOT,Black,475,Model 3,,more than 1,49500,nan,Automatic,5YJ3E1EAXJF165952,2018
Free CARFAX 1-Owner Report,75,4.8,27,Good,iDeal Motors,5.0,28,92627,RWD,Silver,"$54,485",NOT HOT,Gray,45799,Model S,,1,52888,nan,Automatic,5YJSA1E15GF141896,2016
CARFAX Report,Base,4.9,33,Fair,South Bay Pre-Owned,3.8,24,90717,RWD,Gray,"$42,441",NOT HOT,Black,48334,Model S,,more than 1,47995,nan,Automatic,5YJSA1H10EFP33490,2014
Free CARFAX Report,P90D/75D/P100D,5.0,12,Fair,AUTOSOURCE,2.0,11,96814,AWD,Black,"$85,518",NOT HOT,White,20010,Model X,,more than 1,89995,nan,Automatic,5YJXCBE46GF012274,2016
Free CARFAX 1-Owner Report,75 4dr Liftback (midyear release),4.8,27,Great,Vroom (Online Dealer - Nationwide Delivery),3.8,788,31216,RWD,Silver,"$68,904",NOT HOT,Black,25505,Model S,54990,1,53890,nan,Automatic,5YJSA1E13GF142268,2016
Free CARFAX 1-Owner Report,Performance,4.9,47,Good,Expo Motorcars,3.3,39,77036,RWD,White,"$54,743",NOT HOT,Black,14329,Model S,,1,49996,nan,Automatic,5YJSA1DP6DFP19618,2013
Free CARFAX 1-Owner Report,Signature,4.6,11,Good,Hyundai Nissan of Serramonte,1.0,105,94014,RWD,Blue,"$42,584",NOT HOT,Other,40546,Model S,,1,39592,nan,Automatic,5YJSA1CN0CFP02733,2012
Free CARFAX 1-Owner Report,Long Range 4dr Fastback,4.5,69,Good,Vroom (Online Dealer - Nationwide Delivery),3.8,788,06074,RWD,Black,"$53,939",NOT HOT,Black,9256,Model 3,,1,48910,nan,Automatic,5YJ3E1EA1JF003868,2018
Free CARFAX 1-Owner Report,AWD 75D 4dr SUV,5.0,12,Great,Vroom (Online Dealer - Nationwide Delivery),3.8,796,94107,AWD,Brown,"$88,995",NOT HOT,Beige,20904,Model X,70760,1,70050,nan,Automatic,5YJXCBE21GF009183,2016
Free CARFAX 1-Owner Report,Long Range,4.5,69,Good,Shift San Francisco,3.4,38,94114,RWD,Black,"$52,720",NOT HOT,Black,6169,Model 3,,1,46750,nan,Automatic,5YJ3E1EA0JF101368,2018
Free CARFAX Report,P90D,4.8,27,Good,Carvana,4.4,319,29403,AWD,Black,"$70,264",NOT HOT,Black,18968,Model S,,more than 1,66200,nan,Automatic,5YJSA1E40GF120206,2016
Free CARFAX 1-Owner Report,85D,4.8,27,Good,Carvana,4.4,320,28269,AWD,Beige,"$52,285",NOT HOT,Beige,39625,Model S,46600,1,45700,nan,Automatic,5YJSA1E26GF122217,2016
Free CARFAX Report,P90D,4.8,27,Good,Carvana,4.4,319,43403,AWD,Black,"$70,264",NOT HOT,Black,18968,Model S,,more than 1,66200,nan,Automatic,5YJSA1E40GF120206,2016
Free CARFAX 1-Owner Report,Performance,4.9,33,Good,Carvana,4.4,321,48336,RWD,Silver,"$46,828",HOT CAR,Gray,31105,Model S,,1,41000,11,Automatic,5YJSA1H18EFP47914,2014
Free CARFAX 1-Owner Report,85D,4.8,27,Good,Carvana,4.4,323,27513,AWD,Beige,"$51,898",NOT HOT,Beige,39625,Model S,46600,1,45700,nan,Automatic,5YJSA1E26GF122217,2016
Free CARFAX 1-Owner Report,85D,4.8,27,Good,Carvana,4.4,319,24011,AWD,Beige,"$52,082",HOT CAR,Beige,39625,Model S,46600,1,45700,7,Automatic,5YJSA1E26GF122217,2016
Free CARFAX Report,P90D,4.8,27,Good,Carvana,4.4,319,44512,AWD,Black,"$70,264",NOT HOT,Black,18968,Model S,,more than 1,66200,nan,Automatic,5YJSA1E40GF120206,2016
Free CARFAX 1-Owner Report,85,4.8,41,Good,United Imports,4.7,93,95129,RWD,Black,"$44,825",NOT HOT,Other,40756,Model S,,1,41800,nan,Automatic,5YJSA1H16FF092010,2015
Free CARFAX 1-Owner Report,90D,4.9,17,Good,Autolinx,4.5,9,94590,AWD,Blue,"$85,885",NOT HOT,White,16096,Model X,,1,83800,nan,Automatic,5YJXCDE29HF051310,2017
Free CARFAX 1-Owner Report,75D,4.8,5,Good,Avondale Mitsubishi,4.0,71,85323,AWD,Black,"$68,213",NOT HOT,Black,17407,Model S,61895,1,61395,nan,Automatic,5YJSA1E29JF248725,2018
Free CARFAX 1-Owner Report,75,4.7,25,Good,Bill Luke Tempe,4.6,453,85284,RWD,Other,"$56,858",NOT HOT,Black,20193,Model S,,1,52573,nan,Automatic,5YJSA1E14HF218940,2017
Free CARFAX 1-Owner Report,85D,4.8,27,Good,Carvana,4.4,319,17011,AWD,Beige,"$49,736",NOT HOT,Beige,39625,Model S,,1,45700,nan,Automatic,5YJSA1E26GF122217,2016
Free CARFAX 1-Owner Report,,4.5,69,Good,Carvana,4.4,319,17011,AWD,Blue,"$52,975",NOT HOT,Black,7994,Model 3,,1,48900,nan,Automatic,5YJ3E1EB1JF114896,2018
Free CARFAX 1-Owner Report,,4.5,69,Good,Carvana,4.4,319,17602,RWD,Black,"$50,783",NOT HOT,Black,601,Model 3,,1,47900,nan,Automatic,5YJ3E1EA9JF173413,2018
Free CARFAX Report,P90D,4.8,27,Good,Carvana,4.4,319,18424,AWD,Black,"$70,264",NOT HOT,Black,18968,Model S,,more than 1,66200,nan,Automatic,5YJSA1E40GF120206,2016
Free CARFAX 1-Owner Report,Performance,4.9,33,Good,Carvana,4.4,321,19107,RWD,Silver,"$45,847",HOT CAR,Gray,31105,Model S,,1,41000,11,Automatic,5YJSA1H18EFP47914,2014
Free CARFAX 1-Owner Report,85D,4.8,27,Good,Carvana,4.4,319,18102,AWD,Beige,"$50,416",NOT HOT,Beige,39625,Model S,46600,1,45700,nan,Automatic,5YJSA1E26GF122217,2016
Free CARFAX 1-Owner Report,Performance,4.9,33,Good,Carvana,4.4,319,11218,RWD,Silver,"$45,847",HOT CAR,Gray,31105,Model S,,1,41000,11,Automatic,5YJSA1H18EFP47914,2014
Free CARFAX 1-Owner Report,85D,4.8,27,Good,Carvana,4.4,319,95060,AWD,Beige,"$50,380",NOT HOT,Beige,39625,Model S,46600,1,45700,nan,Automatic,5YJSA1E26GF122217,2016
Free CARFAX Report,P90D,4.8,27,Good,Carvana,4.4,319,94545,AWD,Black,"$70,264",NOT HOT,Black,18968,Model S,,more than 1,66200,nan,Automatic,5YJSA1E40GF120206,2016
Free CARFAX Report,P90D,4.8,27,Good,Carvana,4.4,319,90309,AWD,Black,"$70,264",NOT HOT,Black,18968,Model S,,more than 1,66200,nan,Automatic,5YJSA1E40GF120206,2016
Free CARFAX 1-Owner Report,85D,4.8,27,Good,Carvana,4.4,319,93662,AWD,Beige,"$52,030",NOT HOT,Beige,39625,Model S,46600,1,45700,nan,Automatic,5YJSA1E26GF122217,2016
Free CARFAX 1-Owner Report,Performance,4.9,33,Good,Carvana,4.4,319,93662,RWD,Silver,"$46,763",NOT HOT,Gray,31105,Model S,,1,41000,nan,Automatic,5YJSA1H18EFP47914,2014
Free CARFAX 1-Owner Report,,4.5,69,Good,Carvana,4.4,319,90015,RWD,Black,"$54,460",NOT HOT,Black,601,Model 3,,1,47900,nan,Automatic,5YJ3E1EA9JF173413,2018
Free CARFAX Report,P90D,4.8,27,Good,Carvana,4.4,319,92105,AWD,Black,"$68,991",NOT HOT,Black,18968,Model S,,more than 1,66200,nan,Automatic,5YJSA1E40GF120206,2016
Free CARFAX 1-Owner Report,,4.0,5,Fair,Auto Centrix,5.0,6,75006,RWD,Red,"$71,612",NOT HOT,Brown,17880,Roadste,,1,79989,nan,Automatic,5YJRE1A32B1001367,2011
Free CARFAX Report,P90D,4.8,27,Good,Carvana,4.4,326,85281,AWD,Black,"$70,264",NOT HOT,Black,18968,Model S,,more than 1,66200,nan,Automatic,5YJSA1E40GF120206,2016
Free CARFAX 1-Owner Report,,4.5,69,Good,Carvana,4.4,319,85711,RWD,White,"$52,975",NOT HOT,Black,5880,Model 3,,1,46400,nan,Automatic,5YJ3E1EA7JF062407,2018
Free CARFAX Report,P90D,4.8,27,Good,Carvana,4.4,319,80302,AWD,Black,"$70,264",NOT HOT,Black,18968,Model S,,more than 1,66200,nan,Automatic,5YJSA1E40GF120206,2016
Free CARFAX 1-Owner Report,85D,4.8,27,Good,Carvana,4.4,319,80524,AWD,Beige,"$52,231",NOT HOT,Beige,39625,Model S,46600,1,45700,nan,Automatic,5YJSA1E26GF122217,2016
Free CARFAX 1-Owner Report,,4.5,69,Good,Carvana,4.4,319,78701,RWD,Black,"$53,968",NOT HOT,Black,601,Model 3,,1,47900,nan,Automatic,5YJ3E1EA9JF173413,2018
Free CARFAX 1-Owner Report,Long Range,4.5,69,Good,DallasLeaseReturns.com,4.9,1923,75244,RWD,Black,"$46,634",NOT HOT,Black,9690,Model 3,,1,46125,nan,Automatic,5YJ3E1EA5JF004988,2018
Free CARFAX Report,P90D,4.8,27,Good,Carvana,4.4,322,75081,AWD,Black,"$70,264",NOT HOT,Black,18968,Model S,,more than 1,66200,nan,Automatic,5YJSA1E40GF120206,2016
Free CARFAX 1-Owner Report,P90D,4.8,27,Good,Carvana,4.4,322,75081,AWD,Blue,"$65,995",NOT HOT,Gray,44374,Model S,,1,60900,nan,Automatic,5YJSA1E49GF128739,2016
Free CARFAX 1-Owner Report,85D,4.8,27,Good,Carvana,4.4,319,74012,AWD,Beige,"$52,082",NOT HOT,Beige,39625,Model S,46600,1,45700,nan,Automatic,5YJSA1E26GF122217,2016
Free CARFAX Report,P90D,4.8,27,Good,Carvana,4.4,319,34102,AWD,Black,"$70,264",NOT HOT,Black,18968,Model S,,more than 1,66200,nan,Automatic,5YJSA1E40GF120206,2016
Free CARFAX 1-Owner Report,,4.5,69,Good,Carvana,4.4,321,32801,AWD,Blue,"$52,975",HOT CAR,Black,7994,Model 3,,1,48900,11,Automatic,5YJ3E1EB1JF114896,2018
Free CARFAX 1-Owner Report,,4.5,69,Good,Carvana,4.4,320,63103,AWD,Blue,"$52,975",HOT CAR,Black,7994,Model 3,,1,48900,11,Automatic,5YJ3E1EB1JF114896,2018
Free CARFAX 1-Owner Report,,4.5,69,Good,Carvana,4.4,319,31217,RWD,Silver,"$52,975",NOT HOT,Black,6548,Model 3,,1,47600,nan,Automatic,5YJ3E1EA4JF017635,2018
Free CARFAX 1-Owner Report,,4.5,69,Good,Carvana,4.4,347,37204,RWD,Black,"$53,968",NOT HOT,Black,601,Model 3,,1,47900,nan,Automatic,5YJ3E1EA9JF173413,2018
Free CARFAX 1-Owner Report,P85D,4.9,33,Good,Motor Cars of Nashville,4.3,40,37122,RWD,Blue,"$43,144",HOT CAR,Beige,52811,Model S,,1,40799,11,Automatic,5YJSA1H18EFP45032,2014
Free CARFAX 1-Owner Report,75D,4.8,27,Good,Ultimo Motors West,4.7,393,60555,AWD,Gray,"$60,338",NOT HOT,Beige,19156,Model S,,1,57800,nan,Automatic,5YJSA1E2XGF154877,2016
Free CARFAX 1-Owner Report,AWD 100D 4dr SUV,4.9,17,Good,Vroom (Online Dealer - Nationwide Delivery),3.8,787,31415,AWD,Black,"$90,145",NOT HOT,Beige,29113,Model X,88180,1,86420,nan,Automatic,5YJXCAE24HF074881,2017
Free CARFAX Report,100D,4.9,17,Good,Carvana,4.4,319,29925,AWD,White,"$85,219",NOT HOT,Black,17249,Model X,,more than 1,83500,nan,Automatic,5YJXCBE28HF076686,2017
Free CARFAX Report,P90D,4.8,27,Good,Carvana,4.4,319,30904,AWD,Black,"$70,734",NOT HOT,Black,18968,Model S,,more than 1,66200,nan,Automatic,5YJSA1E40GF120206,2016
Free CARFAX 1-Owner Report,,4.5,69,Good,Carvana,4.4,321,48336,RWD,Black,"$53,968",NOT HOT,Black,601,Model 3,,1,47900,nan,Automatic,5YJ3E1EA9JF173413,2018
Free CARFAX 1-Owner Report,,4.5,69,Good,Carvana,4.4,321,48336,AWD,Blue,"$52,975",HOT CAR,Black,7994,Model 3,,1,48900,11,Automatic,5YJ3E1EB1JF114896,2018
Free CARFAX 1-Owner Report,,4.5,69,Good,Carvana,4.4,321,23502,RWD,Black,"$53,968",NOT HOT,Black,601,Model 3,,1,47900,nan,Automatic,5YJ3E1EA9JF173413,2018
Free CARFAX 1-Owner Report,Performance,4.9,33,Fair,Elite Motors,5.0,27,23454,RWD,Gray,"$38,588",NOT HOT,Beige,39270,Model S,,1,41995,nan,Automatic,5YJSA1H18EFP33835,2014
CARFAX Report,70D,4.8,27,Good,Imperial Highline,4.6,29,20111,AWD,White,"$50,318",NOT HOT,Black,29874,Model S,,more than 1,46495,nan,Automatic,5YJSA1E26GF129975,2016
Free CARFAX Report,P90D,4.8,27,Good,Carvana,4.4,319,21740,AWD,Black,"$70,264",NOT HOT,Black,18968,Model S,,more than 1,66200,nan,Automatic,5YJSA1E40GF120206,2016
Free CARFAX Report,P90D,4.8,27,Good,Carvana,4.4,319,13202,AWD,Black,"$70,264",NOT HOT,Black,18968,Model S,,more than 1,66200,nan,Automatic,5YJSA1E40GF120206,2016
Free CARFAX 1-Owner Report,Performance,4.9,33,Good,Carvana,4.4,319,02116,RWD,Silver,"$45,847",HOT CAR,Gray,31105,Model S,,1,41000,11,Automatic,5YJSA1H18EFP47914,2014
Free CARFAX Report,P90D,4.8,27,Good,Carvana,4.4,319,21801,AWD,Black,"$70,264",NOT HOT,Black,18968,Model S,,more than 1,66200,nan,Automatic,5YJSA1E40GF120206,2016
Free CARFAX 1-Owner Report,,4.5,69,Good,Carvana,4.4,319,17602,RWD,White,"$49,041",NOT HOT,Black,5880,Model 3,,1,46400,nan,Automatic,5YJ3E1EA7JF062407,2018
Free CARFAX 1-Owner Report,,4.5,69,Good,Carvana,4.4,319,17602,RWD,Gray,"$48,847",NOT HOT,Black,15142,Model 3,,1,45100,nan,Automatic,5YJ3E1EA5JF002867,2018
Free CARFAX 1-Owner Report,,4.5,69,Good,Carvana,4.4,319,06360,RWD,Black,"$53,596",HOT CAR,Black,601,Model 3,,1,47900,11,Automatic,5YJ3E1EA9JF173413,2018
Free CARFAX 1-Owner Report,Performance,4.9,33,Good,Carvana,4.4,320,06451,RWD,Silver,"$46,828",NOT HOT,Gray,31105,Model S,,1,41000,nan,Automatic,5YJSA1H18EFP47914,2014
Free CARFAX 1-Owner Report,,4.5,69,Good,Carvana,4.4,319,11716,RWD,Black,"$53,968",NOT HOT,Black,601,Model 3,,1,47900,nan,Automatic,5YJ3E1EA9JF173413,2018
CARFAX Report,P85D,4.8,41,Good,Imperial Highline,4.6,29,20111,AWD,Red,"$56,962",NOT HOT,Beige,52064,Model S,,more than 1,52995,nan,Automatic,5YJSA1H44FF080612,2015
CARFAX Report,85D,4.8,41,Good,Imperial Highline,4.6,29,20111,AWD,Black,"$48,228",NOT HOT,Black,51203,Model S,,more than 1,44995,nan,Automatic,5YJSA1H24FFP73551,2015
Free CARFAX 1-Owner Report,P90D,4.8,27,Good,Carvana,4.4,319,95110,AWD,Blue,"$65,995",NOT HOT,Gray,44374,Model S,,1,60900,nan,Automatic,5YJSA1E49GF128739,2016
Free CARFAX 1-Owner Report,85D,4.8,27,Good,Carvana,4.4,319,94590,AWD,Beige,"$49,110",NOT HOT,Beige,39625,Model S,46600,1,45700,nan,Automatic,5YJSA1E26GF122217,2016
Free CARFAX Report,P90D,4.8,27,Good,Carvana,4.4,319,94590,AWD,Black,"$70,264",NOT HOT,Black,18968,Model S,,more than 1,66200,nan,Automatic,5YJSA1E40GF120206,2016
Free CARFAX 1-Owner Report,Performance,4.9,33,Good,Carvana,4.4,319,95202,RWD,Silver,"$46,763",HOT CAR,Gray,31105,Model S,,1,41000,11,Automatic,5YJSA1H18EFP47914,2014
Free CARFAX 1-Owner Report,Performance,4.9,33,Good,Carvana,4.4,319,95815,RWD,Silver,"$46,763",HOT CAR,Gray,31105,Model S,,1,41000,11,Automatic,5YJSA1H18EFP47914,2014
Free CARFAX 1-Owner Report,Performance,4.9,33,Good,Carvana,4.4,319,93292,RWD,Silver,"$46,763",NOT HOT,Gray,31105,Model S,,1,41000,nan,Automatic,5YJSA1H18EFP47914,2014
CARFAX Report,90D,4.8,41,Good,Imperial Highline,4.6,29,20111,AWD,Gray,"$47,299",NOT HOT,Black,56851,Model S,,more than 1,44995,nan,Automatic,5YJSA1E28FF116305,2015
Free CARFAX 1-Owner Report,,4.5,69,Good,Carvana,4.4,326,85281,RWD,Black,"$53,968",NOT HOT,Black,601,Model 3,,1,47900,nan,Automatic,5YJ3E1EA9JF173413,2018
Free CARFAX 1-Owner Report,Performance,4.9,33,Good,Carvana,4.4,319,80903,RWD,Silver,"$45,847",HOT CAR,Gray,31105,Model S,,1,41000,11,Automatic,5YJSA1H18EFP47914,2014
Free CARFAX 1-Owner Report,85D,4.8,27,Good,Carvana,4.4,321,80202,AWD,Beige,"$51,444",NOT HOT,Beige,39625,Model S,46600,1,45700,nan,Automatic,5YJSA1E26GF122217,2016
Free CARFAX Report,P90D,4.8,27,Good,Carvana,4.4,319,80524,AWD,Black,"$70,264",NOT HOT,Black,18968,Model S,,more than 1,66200,nan,Automatic,5YJSA1E40GF120206,2016
Free CARFAX Report,P90D,4.8,27,Good,Carvana,4.4,319,80631,AWD,Black,"$70,264",NOT HOT,Black,18968,Model S,,more than 1,66200,nan,Automatic,5YJSA1E40GF120206,2016
Free CARFAX 1-Owner Report,Performance,4.9,33,Good,Carvana,4.4,319,76112,RWD,Silver,"$46,828",HOT CAR,Gray,31105,Model S,,1,41000,11,Automatic,5YJSA1H18EFP47914,2014
Free CARFAX 1-Owner Report,Performance,4.9,33,Good,Carvana,4.4,319,95354,RWD,Silver,"$46,763",HOT CAR,Gray,31105,Model S,,1,41000,11,Automatic,5YJSA1H18EFP47914,2014
Free CARFAX 1-Owner Report,,4.5,69,Good,Carvana,4.4,322,75081,RWD,Black,"$53,968",NOT HOT,Black,601,Model 3,,1,47900,nan,Automatic,5YJ3E1EA9JF173413,2018
Free CARFAX 1-Owner Report,,4.5,69,Good,Carvana,4.4,319,66502,RWD,Black,"$52,975",NOT HOT,Black,601,Model 3,,1,47900,nan,Automatic,5YJ3E1EA9JF173413,2018
Free CARFAX 1-Owner Report,Performance,4.9,33,Good,Carvana,4.4,319,64105,RWD,Silver,"$46,828",HOT CAR,Gray,31105,Model S,,1,41000,11,Automatic,5YJSA1H18EFP47914,2014
Free CARFAX 1-Owner Report,85D,4.8,27,Good,Carvana,4.4,320,33166,AWD,Beige,"$51,748",NOT HOT,Beige,39625,Model S,46600,1,45700,nan,Automatic,5YJSA1E26GF122217,2016
Free CARFAX 1-Owner Report,Performance,4.9,33,Good,Carvana,4.4,320,33602,RWD,Silver,"$46,828",HOT CAR,Gray,31105,Model S,,1,41000,11,Automatic,5YJSA1H18EFP47914,2014
Free CARFAX 1-Owner Report,,4.5,69,Good,Carvana,4.4,319,38103,RWD,Black,"$53,968",NOT HOT,Black,601,Model 3,,1,47900,nan,Automatic,5YJ3E1EA9JF173413,2018
Free CARFAX 1-Owner Report,P90D,4.8,27,Fair,Carvana,4.4,347,37204,AWD,Blue,"$59,798",NOT HOT,Gray,44374,Model S,,1,60900,nan,Automatic,5YJSA1E49GF128739,2016
Free CARFAX 1-Owner Report,AWD 90D 4dr Liftback,4.8,27,Fair,Vroom (Online Dealer - Nationwide Delivery),4.0,5,60606,AWD,Silver,"$61,576",HOT CAR,Beige,10552,Model S,,1,63410,6,Automatic,5YJSA1E25GF170775,2016
Free CARFAX 1-Owner Report,,4.5,69,Good,Carvana,4.4,319,30607,RWD,Black,"$53,968",NOT HOT,Black,601,Model 3,,1,47900,nan,Automatic,5YJ3E1EA9JF173413,2018
Free CARFAX 1-Owner Report,Performance,4.9,33,Good,Carvana,4.4,319,48827,RWD,Silver,"$46,828",NOT HOT,Gray,31105,Model S,,1,41000,nan,Automatic,5YJSA1H18EFP47914,2014
Free CARFAX 1-Owner Report,,4.5,69,Good,Carvana,4.4,319,48105,RWD,Silver,"$52,975",HOT CAR,Black,6548,Model 3,,1,47600,11,Automatic,5YJ3E1EA4JF017635,2018
Free CARFAX 1-Owner Report,Performance,4.9,33,Good,Carvana,4.4,319,43403,RWD,Silver,"$46,828",HOT CAR,Gray,31105,Model S,,1,41000,11,Automatic,5YJSA1H18EFP47914,2014
Free CARFAX 1-Owner Report,85D,4.8,27,Good,Carvana,4.4,319,43403,AWD,Beige,"$51,104",NOT HOT,Beige,39625,Model S,46600,1,45700,nan,Automatic,5YJSA1E26GF122217,2016
Free CARFAX 1-Owner Report,,4.5,69,Good,Carvana,4.4,320,15219,AWD,Blue,"$52,975",HOT CAR,Black,7994,Model 3,,1,48900,11,Automatic,5YJ3E1EB1JF114896,2018
Free CARFAX 1-Owner Report,Long Range 4dr Fastback,4.5,69,Good,Vroom (Online Dealer - Nationwide Delivery),3.8,787,14202,RWD,Black,"$53,939",NOT HOT,Black,9256,Model 3,,1,48910,nan,Automatic,5YJ3E1EA1JF003868,2018
Free CARFAX Report,P90D,4.8,27,Good,Carvana,4.4,319,95404,AWD,Black,"$70,264",NOT HOT,Black,18968,Model S,,more than 1,66200,nan,Automatic,5YJSA1E40GF120206,2016
Free CARFAX 1-Owner Report,,4.5,69,Good,Carvana,4.4,321,22015,AWD,Blue,"$52,975",HOT CAR,Black,7994,Model 3,,1,48900,11,Automatic,5YJ3E1EB1JF114896,2018
Free CARFAX Report,P90D,4.8,27,Good,Carvana,4.4,321,22015,AWD,Black,"$70,734",NOT HOT,Black,18968,Model S,,more than 1,66200,nan,Automatic,5YJSA1E40GF120206,2016
Free CARFAX 1-Owner Report,Performance,4.9,33,Good,Carvana,4.4,319,17011,RWD,Silver,"$45,847",HOT CAR,Gray,31105,Model S,,1,41000,11,Automatic,5YJSA1H18EFP47914,2014
Free CARFAX 1-Owner Report,,4.5,69,Good,Carvana,4.4,321,19107,RWD,Silver,"$53,968",NOT HOT,Black,6548,Model 3,,1,47600,nan,Automatic,5YJ3E1EA4JF017635,2018
Free CARFAX 1-Owner Report,P90D,4.8,27,Good,Carvana,4.4,320,06451,AWD,Blue,"$65,995",NOT HOT,Gray,44374,Model S,,1,60900,nan,Automatic,5YJSA1E49GF128739,2016
Free CARFAX 1-Owner Report,,4.5,69,Good,Carvana,4.4,319,10451,RWD,White,"$51,127",NOT HOT,Black,5880,Model 3,,1,46400,nan,Automatic,5YJ3E1EA7JF062407,2018
Free CARFAX Report,70D,4.8,41,Good,Sheehy Hyundai of Waldorf,4.2,112,20601,RWD,Silver,"$47,786",NOT HOT,Black,32185,Model S,,more than 1,43490,nan,Automatic,5YJSA1E18FF115582,2015
Free CARFAX 1-Owner Report,85D,4.8,41,Good,Carbiz Greater Washington DC,4.7,74,20723,AWD,Black,"$47,807",NOT HOT,Black,48915,Model S,,1,45000,nan,Automatic,5YJSA1H29FFP69687,2015
CARFAX Report,85D,4.8,41,Good,Auto Expo Ent Inc,4.8,1014,11021,AWD,Black,"$48,464",NOT HOT,Black,36375,Model S,,more than 1,44995,nan,Automatic,5YJSA1H25FFP74630,2015
Free CARFAX Report,P90D,4.8,27,Good,Carvana,4.4,319,95060,AWD,Black,"$70,264",NOT HOT,Black,18968,Model S,,more than 1,66200,nan,Automatic,5YJSA1E40GF120206,2016
Free CARFAX 1-Owner Report,85D,4.8,27,Good,Carvana,4.4,319,95404,AWD,Beige,"$49,110",NOT HOT,Beige,39625,Model S,46600,1,45700,nan,Automatic,5YJSA1E26GF122217,2016
Free CARFAX 1-Owner Report,AWD 100D 4dr SUV,4.9,17,Good,Vroom (Online Dealer - Nationwide Delivery),3.8,796,94107,AWD,Black,"$88,790",NOT HOT,Beige,29113,Model X,88180,1,86420,nan,Automatic,5YJXCAE24HF074881,2017
Free CARFAX Report,P90D,4.8,27,Good,Carvana,4.4,319,95815,AWD,Black,"$70,264",NOT HOT,Black,18968,Model S,,more than 1,66200,nan,Automatic,5YJSA1E40GF120206,2016
Free CARFAX 1-Owner Report,85D,4.8,27,Good,Carvana,4.4,319,95815,AWD,Beige,"$50,029",NOT HOT,Beige,39625,Model S,46600,1,45700,nan,Automatic,5YJSA1E26GF122217,2016
Free CARFAX Report,P90D,4.8,27,Good,Carvana,4.4,319,93662,AWD,Black,"$70,264",NOT HOT,Black,18968,Model S,,more than 1,66200,nan,Automatic,5YJSA1E40GF120206,2016
Free CARFAX 1-Owner Report,,4.5,69,Good,Carvana,4.4,319,89109,RWD,Silver,"$53,968",NOT HOT,Black,6548,Model 3,,1,47600,nan,Automatic,5YJ3E1EA4JF017635,2018
Free CARFAX 1-Owner Report,Performance,4.9,33,Good,Carvana,4.4,319,80302,RWD,Silver,"$45,784",NOT HOT,Gray,31105,Model S,,1,41000,nan,Automatic,5YJSA1H18EFP47914,2014
Free CARFAX 1-Owner Report,Performance,4.9,33,Good,Carvana,4.4,319,80524,RWD,Silver,"$46,763",HOT CAR,Gray,31105,Model S,,1,41000,11,Automatic,5YJSA1H18EFP47914,2014
Free CARFAX 1-Owner Report,AWD 100D 4dr SUV,4.9,17,Good,Vroom (Online Dealer - Nationwide Delivery),3.8,787,78210,AWD,Black,"$91,257",NOT HOT,Beige,29113,Model X,,1,86420,nan,Automatic,5YJXCAE24HF074881,2017
