carfax,config,consumer_rating,consumer_review_number,deal,dealer,dealer_rating,dealer_review_number,dealer_zipcode,drivetrain,ext_color,good_deal_margin,hotornot,int_color,mileage,model,ori_price,owners,price,sellin,transmission,vin,year
Free CARFAX 1-Owner Report,P90D,4.8,27,Good,Carvana,4.4,323,78219,AWD,Blue,"$65,995",NOT HOT,Gray,44374,Model S,,1,60900,nan,Automatic,5YJSA1E49GF128739,2016
Free CARFAX 1-Owner Report,P90D,4.8,27,Good,Carvana,4.4,320,63103,AWD,Blue,"$65,995",NOT HOT,Gray,44374,Model S,,1,60900,nan,Automatic,5YJSA1E49GF128739,2016
Free CARFAX 1-Owner Report,Performance,4.9,33,Good,Carvana,4.4,319,31402,RWD,Silver,"$46,828",HOT CAR,Gray,31105,Model S,,1,41000,11,Automatic,5YJSA1H18EFP47914,2014
Free CARFAX 1-Owner Report,,4.5,69,Good,Carvana,4.4,323,46204,AWD,Blue,"$52,975",HOT CAR,Black,7994,Model 3,,1,48900,11,Automatic,5YJ3E1EB1JF114896,2018
Free CARFAX 1-Owner Report,85D,4.8,27,Good,Carvana,4.4,319,46637,AWD,Beige,"$50,016",HOT CAR,Beige,39625,Model S,,1,45700,11,Automatic,5YJSA1E26GF122217,2016
Free CARFAX 1-Owner Report,P90D,4.8,27,Good,Carvana,4.4,319,29615,AWD,Blue,"$65,995",NOT HOT,Gray,44374,Model S,,1,60900,nan,Automatic,5YJSA1E49GF128739,2016
Free CARFAX Report,P90D,4.8,27,Good,Carvana,4.4,319,29201,AWD,Black,"$70,734",NOT HOT,Black,18968,Model S,,more than 1,66200,nan,Automatic,5YJSA1E40GF120206,2016
Free CARFAX Report,P90D,4.8,27,Good,Carvana,4.4,319,46802,AWD,Black,"$70,734",NOT HOT,Black,18968,Model S,,more than 1,66200,nan,Automatic,5YJSA1E40GF120206,2016
Free CARFAX 1-Owner Report,Performance,4.9,33,Good,Carvana,4.4,319,29526,RWD,Silver,"$46,828",NOT HOT,Gray,31105,Model S,,1,41000,nan,Automatic,5YJSA1H18EFP47914,2014
Free CARFAX 1-Owner Report,Performance,4.9,33,Good,Carvana,4.4,319,48420,RWD,Silver,"$46,828",HOT CAR,Gray,31105,Model S,,1,41000,11,Automatic,5YJSA1H18EFP47914,2014
Free CARFAX 1-Owner Report,P90D,4.8,27,Good,Carvana,4.4,319,48420,AWD,Blue,"$65,995",NOT HOT,Gray,44374,Model S,,1,60900,nan,Automatic,5YJSA1E49GF128739,2016
Free CARFAX Report,Performance 4dr Liftback,4.6,11,Fair,Vroom (Online Dealer - Nationwide Delivery),4.0,3,28269,RWD,Black,"$36,194",NOT HOT,Gray,44035,Model S,,more than 1,37790,nan,Other / Unknown,5YJSA1DPXCFP01752,2012
Free CARFAX 1-Owner Report,Performance,4.9,33,Good,Carvana,4.4,319,44512,RWD,Silver,"$46,828",NOT HOT,Gray,31105,Model S,,1,41000,nan,Automatic,5YJSA1H18EFP47914,2014
Free CARFAX Report,P90D,4.8,27,Good,Carvana,4.4,319,14618,AWD,Black,"$70,734",NOT HOT,Black,18968,Model S,,more than 1,66200,nan,Automatic,5YJSA1E40GF120206,2016
Free CARFAX 1-Owner Report,Performance,4.9,33,Good,Carvana,4.4,319,85711,RWD,Silver,"$46,828",HOT CAR,Gray,31105,Model S,,1,41000,11,Automatic,5YJSA1H18EFP47914,2014
Free CARFAX 1-Owner Report,,4.5,69,Good,Carvana,4.4,321,22015,RWD,Black,"$53,968",NOT HOT,Black,601,Model 3,,1,47900,nan,Automatic,5YJ3E1EA9JF173413,2018
Free CARFAX 1-Owner Report,P90D,4.8,27,Good,Carvana,4.4,319,13202,AWD,Blue,"$65,995",NOT HOT,Gray,44374,Model S,,1,60900,nan,Automatic,5YJSA1E49GF128739,2016
Free CARFAX 1-Owner Report,P90D,4.8,27,Good,Carvana,4.4,319,18424,AWD,Blue,"$65,995",NOT HOT,Gray,44374,Model S,,1,60900,nan,Automatic,5YJSA1E49GF128739,2016
Free CARFAX 1-Owner Report,,4.5,69,Good,Carvana,4.4,319,08625,RWD,Gray,"$46,742",HOT CAR,Black,15142,Model 3,,1,45100,11,Automatic,5YJ3E1EA5JF002867,2018
Free CARFAX 1-Owner Report,,4.5,69,Good,Carvana,4.4,319,94545,AWD,Blue,"$53,051",HOT CAR,Black,7994,Model 3,,1,48900,11,Automatic,5YJ3E1EB1JF114896,2018
Free CARFAX 1-Owner Report,P90D,4.8,27,Good,Carvana,4.4,319,95354,AWD,Blue,"$65,995",NOT HOT,Gray,44374,Model S,,1,60900,nan,Automatic,5YJSA1E49GF128739,2016
Free CARFAX 1-Owner Report,85D,4.8,27,Good,Carvana,4.4,319,90309,AWD,Beige,"$52,231",NOT HOT,Beige,39625,Model S,46600,1,45700,nan,Automatic,5YJSA1E26GF122217,2016
Free CARFAX 1-Owner Report,Performance,4.9,33,Good,Carvana,4.4,319,93304,RWD,Silver,"$45,847",HOT CAR,Gray,31105,Model S,,1,41000,11,Automatic,5YJSA1H18EFP47914,2014
Free CARFAX 1-Owner Report,P90D,4.8,27,Good,Carvana,4.4,319,93662,AWD,Blue,"$65,995",NOT HOT,Gray,44374,Model S,,1,60900,nan,Automatic,5YJSA1E49GF128739,2016
Free CARFAX 1-Owner Report,P90D,4.8,27,Good,Carvana,4.4,319,93292,AWD,Blue,"$65,995",NOT HOT,Gray,44374,Model S,,1,60900,nan,Automatic,5YJSA1E49GF128739,2016
Free CARFAX 1-Owner Report,P90D,4.8,27,Good,Carvana,4.4,319,89109,AWD,Blue,"$65,995",NOT HOT,Gray,44374,Model S,,1,60900,nan,Automatic,5YJSA1E49GF128739,2016
CARFAX Report,Base,4.9,33,Good,Imperial Highline,4.6,29,20111,RWD,Blue,"$40,281",NOT HOT,Beige,43188,Model S,,more than 1,39995,nan,Automatic,5YJSA1H11EFP47477,2014
CARFAX Report,Base,4.9,33,Good,Imperial Highline,4.6,29,20111,RWD,Blue,"$38,124",NOT HOT,Beige,52326,Model S,,more than 1,37995,nan,Automatic,5YJSA1S14EFP38247,2014
CARFAX Report,85D,4.8,41,Good,Auto Expo Ent Inc,4.8,1014,11021,AWD,Black,"$47,360",NOT HOT,Beige,46182,Model S,,more than 1,43995,nan,Automatic,5YJSA1H20FF096711,2015
Free CARFAX 1-Owner Report,P90D,4.8,27,Good,Carvana,4.4,319,94590,AWD,Blue,"$65,995",NOT HOT,Gray,44374,Model S,,1,60900,nan,Automatic,5YJSA1E49GF128739,2016
Free CARFAX Report,100D,4.9,17,Good,Carvana,4.4,319,13202,AWD,White,"$85,219",NOT HOT,Black,17249,Model X,85200,more than 1,83500,nan,Automatic,5YJXCBE28HF076686,2017
Free CARFAX 1-Owner Report,Performance,4.6,11,Good,Kuni BMW,4.7,1094,97005,RWD,Green,"$45,928",NOT HOT,Beige,25450,Model S,,1,40995,nan,Automatic,5YJSA1CP4CFP02400,2012
Free CARFAX Report,100D,4.9,17,Good,Carvana,4.4,319,89109,AWD,White,"$85,219",NOT HOT,Black,17249,Model X,85200,more than 1,83500,nan,Automatic,5YJXCBE28HF076686,2017
Free CARFAX 1-Owner Report,P90D,4.8,27,Good,Carvana,4.4,326,85281,AWD,Blue,"$65,995",NOT HOT,Gray,44374,Model S,,1,60900,nan,Automatic,5YJSA1E49GF128739,2016
Free CARFAX Report,100D,4.9,17,Good,Carvana,4.4,319,80631,AWD,White,"$88,939",NOT HOT,Black,17249,Model X,85200,more than 1,83500,nan,Automatic,5YJXCBE28HF076686,2017
Free CARFAX 1-Owner Report,85D,4.8,27,Great,Carvana,4.4,323,78219,AWD,Beige,"$62,509",NOT HOT,Beige,39625,Model S,,1,45700,nan,Automatic,5YJSA1E26GF122217,2016
Free CARFAX Report,P90D,4.8,27,Good,Ron Tonkin Gran Turismo,4.8,16,97070,AWD,Blue,"$79,492",NOT HOT,Beige,30911,Model S,71995,more than 1,69995,nan,Automatic,5YJSA1E40GF126555,2016
Free CARFAX 1-Owner Report,85D,4.8,27,Great,Carvana,4.4,320,63103,AWD,Beige,"$52,589",NOT HOT,Beige,39625,Model S,46600,1,45700,nan,Automatic,5YJSA1E26GF122217,2016
Free CARFAX Report,100D,4.9,17,Good,Carvana,4.4,323,46204,AWD,White,"$85,763",NOT HOT,Black,17249,Model X,85200,more than 1,83500,nan,Automatic,5YJXCBE28HF076686,2017
Free CARFAX Report,100D,4.9,17,Good,Carvana,4.4,319,29403,AWD,White,"$85,219",NOT HOT,Black,17249,Model X,85200,more than 1,83500,nan,Automatic,5YJXCBE28HF076686,2017
Free CARFAX 1-Owner Report,85D,4.8,27,Great,Carvana,4.4,319,37902,AWD,Beige,"$60,979",NOT HOT,Beige,39625,Model S,46600,1,45700,nan,Automatic,5YJSA1E26GF122217,2016
Free CARFAX 1-Owner Report,85D,4.8,27,Great,Carvana,4.4,319,29615,AWD,Beige,"$61,492",NOT HOT,Beige,39625,Model S,46600,1,45700,nan,Automatic,5YJSA1E26GF122217,2016
Free CARFAX 1-Owner Report,85D,4.8,27,Great,Carvana,4.4,319,40513,AWD,Beige,"$60,694",NOT HOT,Beige,39625,Model S,46600,1,45700,nan,Automatic,5YJSA1E26GF122217,2016
Free CARFAX 1-Owner Report,Long Range 4dr Fastback,4.5,69,Good,Vroom (Online Dealer - Nationwide Delivery),4.0,3,28269,RWD,Black,"$53,448",NOT HOT,Black,9256,Model 3,,1,48910,nan,Automatic,5YJ3E1EA1JF003868,2018
