,fleet,listedDate,listedDate,Date,price,exteriorColorName,mileage,msrpString,trimName,daysOnMarket,ownerCount,sellerRating,serviceProviderName,carYear,savingsRecommendation,vehicleIdentifier,sellerCity,dealScore,hasAccidents,priceDifferential,expectedPrice,modelName,wheelSystem,makeName
25,TRUE,1555479623000,1555479623,4/17/2019,51491,Black,17283,,75 RWD,18,1,4.53,Lexus of Marin,2017,Great Deal,5YJSA1E1XHF218926,"San Rafael, CA",1.64285,FALSE,4048,55539,Model S,RWD,Tesla
26,TRUE,1546078782000,1546078782,12/29/2018,31833,White,36934,,60 RWD,127,1,3.75,Gold Coast Used Cars,2014,Great Deal,5YJSA1S12EFP32205,"New Hyde Park, NY",1.637353797,FALSE,5988,37821,Model S,RWD,Tesla
27,TRUE,1554369663000,1554369663,4/4/2019,29990,Black,63794,,60 RWD,31,2,3.39,Auto Hub,2013,Great Deal,5YJSA1AG3DFP03767,"North Brunswick, NJ",1.631823051,FALSE,3507,33497,Model S,RWD,Tesla
28,FALSE,1555508006000,1555508006,4/17/2019,36999,Black,49500,"$75,000",70D AWD,18,2,,,2015,Great Deal,5YJSA1S21FF095060,"Brooklyn, NY",1.621750067,FALSE,4264,41263,Model S,AWD,Tesla
29,TRUE,1556256104000,1556256104,4/26/2019,51981,Black,15751,,75 RWD,9,1,4.52,Mercedes-Benz of Walnut Creek,2017,Great Deal,5YJSA1E18HF202661,"Walnut Creek, CA",1.619314227,FALSE,3990,55971,Model S,RWD,Tesla
30,FALSE,1547017975000,1547017975,1/9/2019,31990,Brown,46466,"$69,900",60 RWD,116,2,4.53,NextGear Motors,2013,Great Deal,5YJSA1AG5DFP11790,"Raleigh, NC",1.605770944,FALSE,3451,35441,Model S,RWD,Tesla
31,FALSE,1556777229000,1556777229,5/2/2019,69989,Silver,14347,"$74,995",P90D AWD,3,2,4.62,Auto Centrix,2016,Great Deal,5YJSA1E42GF127707,"Carrollton, TX",1.605322752,FALSE,7618,77607,Model S,AWD,Tesla
32,FALSE,1556029404000,1556029404,4/23/2019,24500,Brown,99779,"$69,900",60 RWD,12,3,,,2013,Great Deal,5YJSA1DG7DFP08952,"Axton, VA",1.59414054,FALSE,3426,27926,Model S,RWD,Tesla
33,FALSE,1554369952000,1554369952,4/4/2019,45995,Unknown,60050,,90D AWD,31,1,4.12,San Diego Auto Finder,2016,Great Deal,5YJSA1E2XGF129753,"San Diego, CA",1.587356946,FALSE,8172,54167,Model S,AWD,Tesla
34,FALSE,1549925589000,1549925589,2/11/2019,60900,Blue,19486,,,82,1,4.42,Paul Miller Land Rover Parsippany,2017,Great Deal,5YJSA1E2XHF191641,"Parsippany, NJ",1.565912999,FALSE,8315,69215,Model S,,Tesla
35,FALSE,1554324779000,1554324779,4/3/2019,104900,White,4200,,P100D AWD,31,,4.82,Priced Rite Auto,2018,Great Deal,5YJSA1E42JF272169,"Lincoln, NE",1.558204114,FALSE,13719,118619,Model S,AWD,Tesla
36,FALSE,1556375624000,1556375624,4/27/2019,45995,Blue,25404,,90D AWD,8,2,3.56,BM Motorcars,2016,Great Deal,5YJSA1E20GF123752,"Rahway, NJ",1.554918898,TRUE,8005,54000,Model S,AWD,Tesla
37,FALSE,1554208460000,1554208460,4/2/2019,54633,Unknown,21776,"$68,995",P90D AWD,33,3,4.45,Conicelli Toyota of Conshohocken,2015,Great Deal,5YJSA1E49FF106755,"Conshohocken, PA",1.546476173,TRUE,8964,63597,Model S,AWD,Tesla
38,FALSE,1541724665000,1541724665,11/8/2018,33777,Black,31948,,60 RWD,177,1,3.06,Autos Direct of Fredericksburg,2013,Great Deal,5YJSA1CG4DFP18789,"Fredericksburg, VA",1.532266786,FALSE,3293,37070,Model S,RWD,Tesla
39,FALSE,1555592607000,1555592607,4/18/2019,39888,Red,41025,,85 RWD,17,1,5,Mak Motors,2015,Great Deal,5YJSA1H14FF084472,"Brisbane, CA",1.525000156,FALSE,4238,44126,Model S,RWD,Tesla
40,FALSE,1553820968000,1553820968,3/28/2019,37990,Black,35528,,70 RWD,37,1,4.63,Jumbo Luxury Cars - Hollywood,2015,Great Deal,5YJSA1E15FF120013,"Hollywood, FL",1.511391231,FALSE,3292,41282,Model S,RWD,Tesla
41,FALSE,1553777679000,1553777679,3/28/2019,29995,Gray,61112,,,38,1,3.2,ZAG Motors - Everett,2012,Great Deal,5YJSA1CNXCFP02383,"Everett, WA",1.495264504,FALSE,4416,34411,Model S,,Tesla
42,TRUE,1555530059000,1555530059,4/17/2019,50499,Black,22217,,75 RWD,17,1,4.44,Daly City Mitsubishi,2017,Great Deal,5YJSA1E1XHF202810,"Daly City, CA",1.480534328,FALSE,3648,54147,Model S,RWD,Tesla
43,FALSE,1536208547000,1536208547,9/5/2018,39988,Unknown,27705,,P85 RWD,241,1,3.73,"Auto Mall, Inc.",2014,Great Deal,5YJSA1H18EFP38369,"Brattleboro, VT",1.478155566,FALSE,4087,44075,Model S,RWD,Tesla
44,TRUE,1543905368000,1543905368,12/4/2018,49482,Black,25870,,75 RWD,152,1,3.85,Concord Honda,2017,Great Deal,5YJSA1E11HF202582,"Concord, CA",1.47485328,FALSE,3634,53116,Model S,RWD,Tesla
45,FALSE,1538777877000,1538777877,10/5/2018,49995,Gray,23877,,75D AWD,211,1,3.98,Auto Expo,2016,Great Deal,5YJSA1E24GF130073,"Great Neck, NY",1.461857993,TRUE,6942,56937,Model S,,Tesla
46,TRUE,1554640754000,1554640754,4/7/2019,39990,Gray,43113,,85D AWD,28,1,4.82,Bay Motors,2015,Great Deal,5YJSA1H23FF085847,"Concord, CA",1.445552991,FALSE,6995,46985,Model S,AWD,Tesla
47,FALSE,1547196590000,1547196590,1/11/2019,45700,Brown,39625,,,114,1,4.16,Carvana,2016,Great Deal,5YJSA1E26GF122217,"Santa Fe Springs, CA",1.42730669,FALSE,10459,56159,Model S,,Tesla
48,FALSE,1552062548000,1552062548,3/8/2019,29987,Red,67789,,60 RWD,58,2,4.17,Mccarthy Chevrolet Lee's Summit,2013,Great Deal,5YJSA1CG3DFP11025,"Lees Summit, MO",1.424801847,FALSE,3062,33049,Model S,RWD,Tesla
49,FALSE,1552673192000,1552673192,3/15/2019,41555,Silver,20140,,,51,1,4.12,Sam Jidd Luxury,2015,Great Deal,5YJSA1S13FFP77025,"Des Plaines, IL",1.399011468,FALSE,6704,48259,Model S,,Tesla
50,FALSE,1553324019000,1553324019,3/23/2019,34995,White,42191,,Performance RWD,43,1,4.41,Zoom Auto Group,2012,Great Deal,5YJSA1DP1CFS00605,"Parsippany, NJ",1.397728436,FALSE,4057,39052,Model S,RWD,Tesla
51,FALSE,1553146575000,1553146575,3/21/2019,39900,Unknown,29800,,70 RWD,45,1,4.5,Luxury Motors of Bay Area,2016,Great Deal,5YJSA1E19GF129153,"Pleasanton, CA",1.389243832,FALSE,6097,45997,Model S,,Tesla
